"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 07 20:15:29 GMT 2022","Fri Oct 07 20:15:39 GMT 2022","10401","Validar a home","Dado que acesso a home","","","","Então devo visualizar a logo e ser direcionado para www.casasbahia.com.br",""
"failed","Fri Oct 07 20:15:39 GMT 2022","Fri Oct 07 20:15:50 GMT 2022","10409","Validar a home","Dado que acesso a home","","","","E devo visualizar o campo de busca e exibir o ""O que você está procurando?""",""
"failed","Fri Oct 07 20:15:50 GMT 2022","Fri Oct 07 20:16:00 GMT 2022","10397","Validar a home","Dado que realizo a busca de produtos","","","","Quando insiro uma descrição no campo ""O que vocé está procurando""",""
"failed","Fri Oct 07 20:16:11 GMT 2022","Fri Oct 07 20:16:21 GMT 2022","10404","Validar a home","Dado que realizo a busca de produtos","","","","Então devo ser direcionado para tela de busca de produtos",""
"passed","Fri Oct 07 20:16:35 GMT 2022","Fri Oct 07 20:16:36 GMT 2022","1163","","Funcionalidade: Adicionar experiencia","","","","Teste de outra coisa",""
"failed","Fri Oct 07 20:16:00 GMT 2022","Fri Oct 07 20:16:10 GMT 2022","10423","Validar a home","Dado que realizo a busca de produtos","","","","E clico na ""lupa""",""
